"X.DC.","X.1.","X.HI.","X.1..1","X.1..2"
"DC","1","HI","1","1"
"DC","1","VT","1","1"
"DC","1","MD","1","1"
"DC","1","MA","1","1"
"DC","1","CA","1","1"
"DC","1","IL","0.999333333333333","1"
"DC","1","NY","0.999333333333333","1"
"DC","1","RI","0.994666666666667","1"
"DC","1","WA","0.985333333333333","1"
"DC","1","DE","0.992666666666667","1"
"DC","1","NJ","0.973333333333333","1"
"DC","1","NM","0.922666666666667","1"
"DC","1","OR","0.940666666666667","1"
"DC","1","MN","0.865333333333333","1"
"DC","1","CT","0.927333333333333","1"
"DC","1","WI","0.663333333333333","1"
"DC","1","MI","0.719333333333333","1"
"DC","1","ME","0.830666666666667","1"
"DC","1","CO","0.598666666666667","1"
"DC","1","VA","0.638666666666667","1"
"DC","1","NH","0.445333333333333","0"
"DC","1","--","0.484666666666667","0"
"DC","1","IA","0.0786666666666667","0"
"DC","1","PA","0.383333333333333","0"
"DC","1","NV","0.212666666666667","0"
"DC","1","OH","0.174666666666667","0"
"DC","1","FL","0.132666666666667","0"
"DC","1","AZ","0.0133333333333333","0"
"DC","1","NC","0.151333333333333","0"
"DC","1","GA","0.036","0"
"DC","1","AK","0.000666666666666667","0"
"DC","1","MO","0.000666666666666667","0"
"DC","1","TX","0.000666666666666667","0"
"DC","1","SC","0.00666666666666667","0"
"DC","1","UT","0","0"
"DC","1","KS","0","0"
"DC","1","MS","0.00733333333333333","0"
"DC","1","IN","0","0"
"DC","1","NE","0","0"
"DC","1","SD","0","0"
"DC","1","MT","0","0"
"DC","1","LA","0.000666666666666667","0"
"DC","1","ND","0","0"
"DC","1","AR","0","0"
"DC","1","TN","0","0"
"DC","1","KY","0","0"
"DC","1","ID","0","0"
"DC","1","AL","0","0"
"DC","1","OK","0","0"
"DC","1","WV","0","0"
"DC","1","WY","0","0"
"HI","1","DC","1","1"
"HI","1","VT","1","1"
"HI","1","MD","1","1"
"HI","1","MA","1","1"
"HI","1","CA","1","1"
"HI","1","IL","0.999333333333333","1"
"HI","1","NY","0.999333333333333","1"
"HI","1","RI","0.994666666666667","1"
"HI","1","WA","0.985333333333333","1"
"HI","1","DE","0.992666666666667","1"
"HI","1","NJ","0.973333333333333","1"
"HI","1","NM","0.922666666666667","1"
"HI","1","OR","0.940666666666667","1"
"HI","1","MN","0.865333333333333","1"
"HI","1","CT","0.927333333333333","1"
"HI","1","WI","0.663333333333333","1"
"HI","1","MI","0.719333333333333","1"
"HI","1","ME","0.830666666666667","1"
"HI","1","CO","0.598666666666667","1"
"HI","1","VA","0.638666666666667","1"
"HI","1","NH","0.445333333333333","0"
"HI","1","--","0.484666666666667","0"
"HI","1","IA","0.0786666666666667","0"
"HI","1","PA","0.383333333333333","0"
"HI","1","NV","0.212666666666667","0"
"HI","1","OH","0.174666666666667","0"
"HI","1","FL","0.132666666666667","0"
"HI","1","AZ","0.0133333333333333","0"
"HI","1","NC","0.151333333333333","0"
"HI","1","GA","0.036","0"
"HI","1","AK","0.000666666666666667","0"
"HI","1","MO","0.000666666666666667","0"
"HI","1","TX","0.000666666666666667","0"
"HI","1","SC","0.00666666666666667","0"
"HI","1","UT","0","0"
"HI","1","KS","0","0"
"HI","1","MS","0.00733333333333333","0"
"HI","1","IN","0","0"
"HI","1","NE","0","0"
"HI","1","SD","0","0"
"HI","1","MT","0","0"
"HI","1","LA","0.000666666666666667","0"
"HI","1","ND","0","0"
"HI","1","AR","0","0"
"HI","1","TN","0","0"
"HI","1","KY","0","0"
"HI","1","ID","0","0"
"HI","1","AL","0","0"
"HI","1","OK","0","0"
"HI","1","WV","0","0"
"HI","1","WY","0","0"
"VT","1","DC","1","1"
"VT","1","HI","1","1"
"VT","1","MD","1","1"
"VT","1","MA","1","1"
"VT","1","CA","1","1"
"VT","1","IL","0.999333333333333","1"
"VT","1","NY","0.999333333333333","1"
"VT","1","RI","0.994666666666667","1"
"VT","1","WA","0.985333333333333","1"
"VT","1","DE","0.992666666666667","1"
"VT","1","NJ","0.973333333333333","1"
"VT","1","NM","0.922666666666667","1"
"VT","1","OR","0.940666666666667","1"
"VT","1","MN","0.865333333333333","1"
"VT","1","CT","0.927333333333333","1"
"VT","1","WI","0.663333333333333","1"
"VT","1","MI","0.719333333333333","1"
"VT","1","ME","0.830666666666667","1"
"VT","1","CO","0.598666666666667","1"
